Job Working,ReadyStatus,Job Wait,OFF or unknown,AlarmStatus,Job Workingwaitoperator,Wait for reset,Manual job Working,Bevel Inclined Poly,Bevel Straight Poly,Bevel Straight CR 1,Bevel Straight CR 2,Groove Poly,Bevel Inclined HI,Bevel Straight HI,Groove OR,Cycle Time,Job Correctly Completed,Lens Rejected (Lens 2),Lens Rejected (Lens 1),Cannot Load Lens from Pallet,Server didnt send job,Barcode Not readable,Lens not traceable,Timestamp Identifier not received
138374,3521,70003,28175,8710,9343,793,759,465,261,197,112,71,70,36,11,118,906,50,26,28,8,40,8,0
138707,2860,74738,29768,10179,8495,845,261,446,264,205,111,72,71,36,13,143,1106,46,37,21,19,42,11,0
136060,2763,67072,28883,8968,9580,720,1494,468,232,221,100,70,72,32,9,60,1047,51,23,30,13,25,13,1
136494,4829,67464,29098,7446,8207,1549,331,524,268,213,105,73,57,35,13,114,1247,57,37,23,18,42,10,0
136330,1250,72411,28142,6873,8735,1271,964,520,263,192,112,71,71,35,11,89,692,69,40,31,13,1,9,1
136295,7144,73683,28930,8497,9583,1349,260,533,232,208,106,69,71,40,12,57,885,70,44,21,11,34,13,0
138292,3899,68135,29046,10112,9032,354,1026,511,237,206,96,70,60,32,13,98,1074,61,21,40,11,42,12,0
136838,6293,67965,28180,10228,10039,1452,771,521,224,216,97,68,72,37,10,56,765,63,28,24,13,1,14,1
137369,486,71413,29068,10057,9285,685,446,536,262,188,103,74,60,40,11,111,792,50,18,10,10,40,15,1
135666,6560,67863,29492,6540,8135,282,1239,494,269,212,101,72,56,32,12,122,776,57,37,40,11,25,11,0
136438,6966,73798,28091,8964,8512,1312,772,468,228,206,93,74,65,31,9,81,782,47,41,35,23,1,15,0
135530,613,73431,29292,6518,8582,793,478,512,227,185,109,72,70,42,12,60,841,53,33,35,10,32,16,0
136682,7577,74023,28033,9820,8702,1541,568,480,275,223,111,68,66,36,11,100,1023,69,19,12,8,14,7,1
137335,2191,67996,28677,11667,9181,819,866,541,238,218,89,70,55,31,10,126,1150,46,28,15,20,0,9,0
138644,8006,69987,29605,8371,9263,569,594,511,246,193,109,76,54,34,12,113,806,60,25,14,10,31,11,1
138371,611,72621,29387,9740,8271,460,439,446,251,199,100,74,68,34,12,105,896,71,37,17,8,18,12,1
138119,4540,72313,29731,6501,8359,1618,199,479,274,186,89,74,59,36,11,126,1030,60,18,25,9,13,7,0
135330,4995,73004,29156,7251,8124,545,667,511,276,225,112,72,55,42,11,116,1309,53,19,13,16,40,7,1
136885,1280,70871,28758,9900,8297,362,933,487,276,186,112,70,61,35,10,68,838,53,24,23,18,7,10,1
138580,2489,72636,28381,7245,8522,537,278,474,273,196,105,71,63,34,12,128,1139,64,36,38,11,11,7,0
135969,7469,65358,29703,6833,9241,1229,1158,538,228,209,90,71,56,36,10,77,944,63,30,28,15,14,15,1
137591,5130,75065,28965,8128,10153,478,293,508,254,198,95,73,51,40,11,131,1141,56,30,20,23,33,9,1
136715,7300,66440,29300,10776,9220,1595,204,521,266,212,111,73,54,35,10,116,991,42,22,41,18,5,16,1
138685,7433,75302,29179,9346,8171,927,876,521,236,209,91,74,71,37,11,130,1082,71,19,16,8,26,8,0
138053,5374,67862,28386,8472,8531,1386,84,509,240,223,106,75,65,35,9,112,1086,43,23,41,14,26,15,0
137633,6470,68152,28534,12121,8479,545,292,454,230,197,102,76,70,39,10,122,936,61,33,40,21,26,15,1
136415,4387,71941,28199,12159,9893,1276,389,539,270,222,98,75,68,33,12,119,686,64,37,17,16,37,15,1
136155,2682,66241,28274,8383,8907,1149,1161,526,225,185,112,76,67,32,12,79,942,69,45,37,17,9,9,1
137524,7953,71841,28500,11393,8155,1010,410,514,268,212,95,76,59,31,12,69,1140,60,45,22,22,42,16,0
136384,6503,75266,28458,9723,9226,1140,508,546,231,209,102,70,65,35,12,141,1259,72,26,14,12,36,10,1
135659,2156,72730,28049,10132,8120,298,1241,514,271,209,91,74,54,41,9,87,904,51,20,14,8,26,11,1
138585,5824,66721,28969,9683,8390,650,617,485,258,222,99,70,61,42,12,121,776,42,40,22,16,27,7,1
135221,5585,71065,29721,11421,10094,1326,1080,439,259,183,103,72,62,38,10,114,758,57,26,33,15,8,14,1
137500,7841,65735,28987,10231,8934,898,91,538,242,184,107,76,62,39,11,134,1148,57,43,26,10,27,13,1
135947,3303,66139,28531,6685,8287,922,783,479,231,224,111,75,54,33,11,136,831,53,34,26,17,30,13,1
138104,2331,69301,29003,8361,9274,658,1393,543,238,205,100,70,58,37,11,79,706,68,28,25,17,40,11,1
138832,7981,70548,28627,7541,10084,1096,570,558,238,202,93,73,62,34,11,96,706,54,40,8,19,3,8,1
135674,7141,70259,29115,7302,8313,1103,1435,500,251,222,97,72,70,37,10,133,697,65,45,13,8,21,14,0
136282,1388,66950,29884,11017,10014,369,770,448,240,191,95,71,56,35,12,115,1280,71,35,27,23,32,16,1
137758,3380,71128,29479,7991,9601,423,192,521,243,188,103,73,63,36,13,108,1125,54,32,38,8,24,14,1
137247,4424,74737,28338,11956,8692,900,1140,558,260,207,89,75,55,38,12,60,1150,51,32,25,23,19,12,1
138747,7009,67561,29076,11158,8140,1143,706,493,273,224,89,75,64,40,13,109,890,58,19,24,21,0,14,1
137947,7594,74407,29519,11838,8119,483,669,510,230,226,94,70,65,40,9,128,1169,47,38,39,13,15,9,1
136175,4305,71194,29658,10887,9132,1604,1298,482,237,202,109,73,67,39,11,113,955,71,43,32,20,1,15,0
137006,5493,71578,29876,11990,8924,1144,1376,482,261,183,93,68,65,38,9,55,1217,44,25,21,10,8,15,0
135389,4696,69189,29873,11444,9759,432,903,466,265,207,99,68,61,36,11,99,1213,72,26,12,8,12,9,0
138205,2433,72197,29800,7323,10036,808,1469,471,228,191,99,68,72,42,13,66,855,62,35,14,12,5,9,0
137934,6087,66626,28003,9114,10165,618,1059,559,251,207,102,76,64,35,11,97,1246,46,32,23,23,11,16,0
138205,709,71201,29704,7676,8847,1028,623,506,269,187,96,76,63,34,11,131,955,69,41,14,17,40,16,1
135762,2921,68658,28280,7176,9067,1638,740,532,268,207,112,72,59,32,12,91,1145,50,25,27,10,12,12,0
137099,3625,66885,29313,11673,8351,1359,196,527,268,191,102,74,70,38,12,119,1125,46,27,15,8,7,9,0
138838,2981,70945,28072,10483,8439,835,289,558,273,205,97,71,70,33,12,76,947,58,20,24,22,40,12,1
136467,3746,65688,29160,11528,9904,1032,1509,538,260,219,99,69,54,36,9,114,1274,46,29,16,23,0,14,0
138079,7021,68091,29873,10515,10123,1210,765,545,246,196,99,73,66,31,10,54,1309,65,27,22,16,9,8,0
136728,3207,68632,28767,7436,8500,830,1434,457,262,201,108,69,68,35,13,121,958,46,43,18,23,0,12,1
138402,4639,66003,28970,9170,8436,1433,1446,509,264,206,109,74,53,33,9,120,1276,70,34,20,13,16,9,0
138756,7473,71134,29676,10740,10023,377,1262,507,270,207,104,71,63,31,12,54,994,59,24,31,10,20,7,1
135846,7916,68120,28997,10752,9468,1072,1321,455,275,225,100,71,71,37,12,114,1035,66,40,12,21,42,10,1
137268,858,73353,29416,7320,9977,701,1065,509,229,197,95,69,65,38,10,63,1273,72,25,35,23,11,11,1
138088,2249,70259,28207,8921,9497,359,1010,497,252,211,91,76,70,40,9,69,894,43,41,30,20,5,9,1
